name,model,serial_number,category_name,area_name,status,acquisition_date
Troqueladora,WDC-01,,Troqueladora,Área de Troquelado,OPERATIVO,
Troqueladora,WDC-02,,Troqueladora,Área de Troquelado,OPERATIVO,
Troqueladora,WDC-03,,Troqueladora,Área de Troquelado,OPERATIVO,
Troqueladora,WDC-04,,Troqueladora,Área de Troquelado,OPERATIVO,
Troqueladora,WDC-05,,Troqueladora,Área de Troquelado,OPERATIVO,
Banda de Scrap,1,,Banda de scrap,Área de Troquelado,OPERATIVO,
Banda de Scrap,2,,Banda de scrap,Área de Troquelado,OPERATIVO,
Banda de Scrap,3,,Banda de scrap,Área de Troquelado,OPERATIVO,
Banda de Scrap,4,,Banda de scrap,Área de Troquelado,OPERATIVO,
Banda de Scrap,5,,Banda de scrap,Área de Troquelado,OPERATIVO,
Air Hammer 1,115,219F,Herramienta,Área de Troquelado,OPERATIVO,
Air Hammer 2,115,219F,Herramienta,Área de Troquelado,OPERATIVO,
Air Hammer 3,115,219F,Herramienta,Área de Troquelado,OPERATIVO,
Air Hammer 4,115,219F,Herramienta,Área de Troquelado,OPERATIVO,
Fibra optica con sensor,LBST 32900,7020046,Herramienta,Área de Troquelado,OPERATIVO,
Transductor de señal,CSL1-P11,1016292,Herramienta,Área de Troquelado,OPERATIVO,
Sistema de Vacio SCHMALZ 1,SBB-EVE-ST-VZ,11.04.03.10315,Sistema de Vacio,Área de Troquelado,OPERATIVO,
Sistema de Vacio SCHMALZ 2,SBB-EVE-ST-VZ,11.04.03.10315,Sistema de Vacio,Área de Troquelado,OPERATIVO,
Sistema de Vacio SCHMALZ 3,SBB-EVE-ST-VZ,11.04.03.10315,Sistema de Vacio,Área de Troquelado,OPERATIVO,
Grua 1 Tn1 CM Lodestar,,LW5772VG,Polipasto,Área de Troquelado,OPERATIVO,
Grua 2 Tn1 CM Lodestar,,LW5992VD,Polipasto,Área de Troquelado,OPERATIVO,
Motor Ventilador 4.2 HP Spencer,40C AMB-CONT,36H711X10061,Ventilador,Área de Troquelado,OPERATIVO,
Controlador de Cortina Rapida Hormann,BK 150 FUE H,OS 2120,Controlador de Cortina Rapida,Área de Troquelado,OPERATIVO,
Cortina Rapida Hormann,SC 1400 SEL,I20103 112,Cortina Rapida,Área de Troquelado,OPERATIVO,
Troquel 53mm,V TAB,2,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 53mm,V TAB,3,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 53mm,V TAB,214,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 53mm,V TAB,247,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 73.5mm,U TAB,339,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 73.5mm,U TAB,854122,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 75.5mm,V TAB,262C,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 75.5mm,V TAB,820589,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 79mm,V TAB,6,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 79mm,V TAB,70,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 83mm,V TAB,1,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 93mm,V TAB,248,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 95.3mm,V TAB,5,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 95.3mm,V TAB,6,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 118mm,V TAB,215,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 118mm,V TAB,232,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 118mm,V TAB,239,Herramentales,Área de Mantenimiento,OPERATIVO,
Troquel 118mm,V TAB,857684,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 3C,PW-500,15-482-500-432-120,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 3T,PW-500 RA,19-638-500RA-432-119,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 3E,PW-500 RA,17-580-500RA-432-120,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 3D,PW-500,12-358-500-432-120,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 3B,PW-500,11-307-500-432-120,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 3Z,PW-500 RA,20-686-500RA-432-120,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 2A,PW-500 RA,22-778-500RA-991-120,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 2G,500-C,03-094-500-991-120,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 1U,PW-500 RA,19-639-500RA-599t-120,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 1O,PW-500,10-298-500-599-120,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 1K,PW-500 RA,20-685-500RA-599-120,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 1D,PW-500 C,09-247-500-599-120,Herramentales,Área de Mantenimiento,OPERATIVO,
Embosser 1N,PW-500,10-297-500-599-120,Herramentales,Área de Mantenimiento,OPERATIVO,
